n,seed,iteration,elapsed_seconds,best_so_far,active_components
20,3,170,1559.6,291.71,120
20,3,171,1565.0,291.71,106
20,3,172,1569.1,291.71,99
20,3,173,1575.5,291.71,107
20,3,174,1582.7,291.71,110
20,3,175,1592.4,291.71,116
20,3,176,1601.8,291.71,116
20,3,177,1611.0,291.71,108
20,3,178,1614.9,291.71,92
20,3,179,1619.0,291.71,95
20,3,180,1623.5,291.71,102
20,3,181,1632.6,291.71,113
20,3,182,1649.5,291.71,117
20,3,183,1657.6,291.71,113
20,3,184,1671.6,291.71,111
20,3,185,1686.1,291.71,100
20,3,186,1700.9,291.71,111
20,3,187,1712.0,291.71,110
20,3,188,1718.1,291.71,106
20,3,189,1726.0,291.71,107
20,3,190,1733.4,291.71,114
20,3,191,1751.1,291.71,123
20,3,192,1768.9,291.71,121
20,3,193,1786.7,291.71,121
20,3,194,1793.2,291.71,111
20,3,195,1800.2,291.71,108
30,1,1,10.9,431.18,51
30,1,2,21.9,431.18,93
30,1,3,35.0,407.31,128
30,1,4,61.1,407.31,162
30,1,5,77.8,407.31,128
30,1,6,103.2,407.31,153
30,1,7,127.9,407.31,145
30,1,8,154.0,407.31,160
30,1,9,179.2,407.31,143
30,1,10,192.9,407.31,134
30,1,11,205.8,407.31,130
30,1,12,231.8,407.31,162
30,1,13,256.7,407.31,168
30,1,14,273.7,407.31,141
30,1,15,291.0,405.42,133
30,1,16,316.2,405.42,158
30,1,17,341.1,405.42,152
30,1,18,365.9,391.42,154
30,1,19,391.6,391.42,151
30,1,20,416.4,391.42,145
30,1,21,441.8,391.42,161
30,1,22,468.5,391.42,169
30,1,23,493.2,391.42,166
30,1,24,508.6,391.42,139
30,1,25,532.3,391.42,147
30,1,26,557.3,391.42,173
30,1,27,582.1,391.42,150
30,1,28,606.8,391.42,164
30,1,29,631.6,391.42,165
30,1,30,647.3,391.42,128
30,1,31,662.8,391.42,128
30,1,32,687.5,391.42,159
30,1,33,712.4,391.42,165
30,1,34,728.3,391.42,126
30,1,35,744.4,391.42,134
30,1,36,769.3,391.42,151
30,1,37,795.1,391.42,170
30,1,38,820.0,391.42,159
30,1,39,845.5,391.42,145
30,1,40,870.2,391.42,146
30,1,41,895.1,391.42,124
30,1,42,912.1,391.42,138
30,1,43,937.4,391.42,168
30,1,44,963.0,391.42,171
30,1,45,978.7,391.42,134
30,1,46,993.1,391.42,127
30,1,47,1018.0,391.42,152
30,1,48,1042.7,391.42,163
30,1,49,1067.8,391.42,137
30,1,50,1092.7,391.42,142
30,1,51,1117.4,391.42,161
30,1,52,1142.2,391.42,158
30,1,53,1167.2,391.42,129
30,1,54,1186.3,390.02,147
30,1,55,1211.1,390.02,171
30,1,56,1235.9,390.02,156
30,1,57,1258.5,378.6,127
30,1,58,1283.5,378.6,147
30,1,59,1308.3,378.6,158
30,1,60,1333.1,378.6,153
30,1,61,1358.3,378.6,150
30,1,62,1383.2,378.6,149
30,1,63,1408.8,378.6,159
30,1,64,1433.6,378.6,176
30,1,65,1449.4,378.6,136
30,1,66,1470.7,378.6,132
30,1,67,1495.5,378.6,148
30,1,68,1521.2,378.6,163
30,1,69,1537.1,378.6,138
30,1,70,1562.1,378.6,140
30,1,71,1586.9,378.6,124
30,1,72,1611.8,378.6,150
30,1,73,1636.8,378.6,154
30,1,74,1662.5,378.6,157
30,1,75,1676.1,378.6,131
30,1,76,1690.9,378.6,133
30,1,77,1715.9,378.6,160
30,1,78,1740.8,378.6,168
30,1,79,1765.6,378.6,181
30,1,80,1790.4,378.6,169
30,1,81,1800.6,378.6,133
30,2,1,10.5,466.8,51
30,2,2,22.0,395.11,95
30,2,3,36.0,395.11,132
30,2,4,56.2,387.94,140
30,2,5,81.0,387.94,173
30,2,6,106.0,387.94,149
30,2,7,130.8,387.94,138
30,2,8,155.9,387.94,151
30,2,9,180.9,352.63,145
30,2,10,205.9,352.63,156
30,2,11,230.7,352.63,166
30,2,12,255.5,352.63,170
30,2,13,273.9,352.63,135
30,2,14,298.9,352.63,134
30,2,15,323.7,352.63,151
30,2,16,348.5,352.63,164
30,2,17,374.2,352.63,153
30,2,18,393.2,352.63,127
30,2,19,418.5,352.63,148
30,2,20,443.3,352.63,154
30,2,21,457.4,352.63,134
30,2,22,473.2,352.63,136
30,2,23,498.0,352.63,157
30,2,24,523.7,352.63,170
